event_id,org_id,account_id,user_id,feature_name,event_type,timestamp
evt_000001,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-05T18:10:37.653981
evt_000002,org_001,acc_001,usr_acc_001_1,api_call,click,2026-01-05T18:10:37.653981
evt_000003,org_001,acc_001,usr_acc_001_1,report_view,click,2026-01-06T18:44:37.654028
evt_000004,org_001,acc_001,usr_acc_001_1,integration_enabled,click,2026-01-06T18:44:37.654028
evt_000005,org_001,acc_001,usr_acc_001_1,integration_enabled,click,2026-01-09T08:51:37.654058
evt_000006,org_001,acc_001,usr_acc_001_1,dashboard_view,click,2026-01-09T08:51:37.654058
evt_000007,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-09T08:51:37.654058
evt_000008,org_001,acc_001,usr_acc_001_1,settings_update,click,2026-01-09T08:51:37.654058
evt_000009,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-11T18:31:37.654089
evt_000010,org_001,acc_001,usr_acc_001_1,integration_enabled,click,2026-01-11T18:31:37.654089
evt_000011,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-11T18:31:37.654089
evt_000012,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-11T18:31:37.654089
evt_000013,org_001,acc_001,usr_acc_001_1,integration_enabled,click,2026-01-13T17:27:37.654207
evt_000014,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-13T17:27:37.654207
evt_000015,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-13T17:27:37.654207
evt_000016,org_001,acc_001,usr_acc_001_1,settings_update,click,2026-01-13T17:27:37.654207
evt_000017,org_001,acc_001,usr_acc_001_1,report_view,click,2026-01-14T08:55:37.654255
evt_000018,org_001,acc_001,usr_acc_001_1,export_report,click,2026-01-14T08:55:37.654255
evt_000019,org_001,acc_001,usr_acc_001_1,settings_update,click,2026-01-16T09:24:37.654274
evt_000020,org_001,acc_001,usr_acc_001_1,integration_enabled,click,2026-01-16T09:24:37.654274
